"Aggregated_class","year","sum(area)"
"Agriculture",1985,1020.35653689813
"Agriculture",1986,1017.23095458734
"Agriculture",1987,1017.03623105676
"Agriculture",1988,1079.13359935706
"Agriculture",1989,1082.21632027381
"Agriculture",1990,1100.34227378723
"Agriculture",1991,1271.4579086698
"Agriculture",1992,1273.04291376166
"Agriculture",1993,1143.22412780103
"Agriculture",1994,1111.69433853979
"Agriculture",1995,1076.23449645007
"Agriculture",1996,1110.29845525061
"Agriculture",1997,1236.28898340484
"Agriculture",1998,1206.16520882294
"Agriculture",1999,1176.10403260547
"Agriculture",2000,1119.3942909502
"Agriculture",2001,1055.37400006946
"Agriculture",2002,1078.43597511096
"Agriculture",2003,1094.52072175781
"Agriculture",2004,1054.29229348957
"Agriculture",2005,1009.21850659473
"Agriculture",2006,987.879357561467
"Agriculture",2007,1003.09559715241
"Agriculture",2008,963.664927181948
"Agriculture",2009,982.558231547059
"Agriculture",2010,1031.68700123676
"Agriculture",2011,1067.41756628058
"Agriculture",2012,1047.60599381378
"Agriculture",2013,1043.11247781629
"Agriculture",2014,1072.00434240204
"Agriculture",2015,1089.5590704447
"Agriculture",2016,1141.51211953168
"Agriculture",2017,1110.45506251715
"Agriculture",2018,1178.14770673938
"Agriculture",2019,1145.80695808179
"Agriculture",2020,1244.42823269415
"Forest",1985,333663.461679961
"Forest",1986,334096.602845319
"Forest",1987,334076.138626446
"Forest",1988,333988.462024655
"Forest",1989,333709.318014882
"Forest",1990,333723.535411447
"Forest",1991,333560.196253407
"Forest",1992,333300.792446009
"Forest",1993,333303.121791364
"Forest",1994,333181.684495388
"Forest",1995,333117.203718034
"Forest",1996,332959.63147409
"Forest",1997,332856.833973032
"Forest",1998,332517.639108076
"Forest",1999,332445.925408118
"Forest",2000,333050.671416756
"Forest",2001,333030.274522114
"Forest",2002,332729.750777174
"Forest",2003,332555.069423406
"Forest",2004,332317.290904545
"Forest",2005,332191.545542114
"Forest",2006,332120.038223588
"Forest",2007,332122.879872405
"Forest",2008,332171.19605491
"Forest",2009,332164.846046237
"Forest",2010,332254.589366852
"Forest",2011,332107.91382849
"Forest",2012,332136.80118939
"Forest",2013,332207.17165971
"Forest",2014,332185.410886863
"Forest",2015,332191.254234614
"Forest",2016,332155.532466682
"Forest",2017,332164.867104788
"Forest",2018,332016.137535753
"Forest",2019,331965.876420454
"Forest",2020,331432.516043641
"Non-vegetated area",1985,1366.00082075618
"Non-vegetated area",1986,1359.52942594601
"Non-vegetated area",1987,1364.61297041305
"Non-vegetated area",1988,1380.80387614993
"Non-vegetated area",1989,1397.85787116677
"Non-vegetated area",1990,1401.04827339084
"Non-vegetated area",1991,1406.73324197174
"Non-vegetated area",1992,1409.88227835225
"Non-vegetated area",1993,1408.40900446281
"Non-vegetated area",1994,1402.70434653583
"Non-vegetated area",1995,1404.15873480528
"Non-vegetated area",1996,1402.07191408315
"Non-vegetated area",1997,1388.21810696876
"Non-vegetated area",1998,1368.22042325937
"Non-vegetated area",1999,1357.18386959937
"Non-vegetated area",2000,1346.74131629895
"Non-vegetated area",2001,1342.21011326314
"Non-vegetated area",2002,1343.479363039
"Non-vegetated area",2003,1336.34840528254
"Non-vegetated area",2004,1342.04803528297
"Non-vegetated area",2005,1334.46183451741
"Non-vegetated area",2006,1329.75239978014
"Non-vegetated area",2007,1332.62293576136
"Non-vegetated area",2008,1343.65751713034
"Non-vegetated area",2009,1338.28503861313
"Non-vegetated area",2010,1340.71257324195
"Non-vegetated area",2011,1333.4647387184
"Non-vegetated area",2012,1338.47788147095
"Non-vegetated area",2013,1336.57141774011
"Non-vegetated area",2014,1344.92391165722
"Non-vegetated area",2015,1346.20927690265
"Non-vegetated area",2016,1348.6321485069
"Non-vegetated area",2017,1351.58752983999
"Non-vegetated area",2018,1344.44762684774
"Non-vegetated area",2019,1314.73678917128
"Non-vegetated area",2020,1302.63802556052
"Non forest Natural Formation",1985,36371.8410375316
"Non forest Natural Formation",1986,36239.0423283196
"Non forest Natural Formation",1987,36420.3719178961
"Non forest Natural Formation",1988,36384.4255561424
"Non forest Natural Formation",1989,36520.8630927593
"Non forest Natural Formation",1990,36236.870626887
"Non forest Natural Formation",1991,36081.0422124377
"Non forest Natural Formation",1992,35977.9344711904
"Non forest Natural Formation",1993,36106.6881264225
"Non forest Natural Formation",1994,36143.0016657616
"Non forest Natural Formation",1995,36100.3879050638
"Non forest Natural Formation",1996,36127.6205312173
"Non forest Natural Formation",1997,36218.4241094948
"Non forest Natural Formation",1998,36257.7135890193
"Non forest Natural Formation",1999,35959.3492365041
"Non forest Natural Formation",2000,36508.8669675524
"Non forest Natural Formation",2001,36846.4117782295
"Non forest Natural Formation",2002,36700.0765796058
"Non forest Natural Formation",2003,36731.0157986886
"Non forest Natural Formation",2004,36782.9732926904
"Non forest Natural Formation",2005,36714.5440429666
"Non forest Natural Formation",2006,36656.8761738241
"Non forest Natural Formation",2007,36730.5162517313
"Non forest Natural Formation",2008,36681.1597327494
"Non forest Natural Formation",2009,36708.4801729639
"Non forest Natural Formation",2010,36845.194442559
"Non forest Natural Formation",2011,36819.0748013489
"Non forest Natural Formation",2012,36897.3115730457
"Non forest Natural Formation",2013,37066.5802597798
"Non forest Natural Formation",2014,36993.0582486634
"Non forest Natural Formation",2015,37034.1798614373
"Non forest Natural Formation",2016,37028.7588769008
"Non forest Natural Formation",2017,36935.3347709867
"Non forest Natural Formation",2018,36939.7863535591
"Non forest Natural Formation",2019,37017.2598147215
"Non forest Natural Formation",2020,36634.2702118499
"Non observed",1985,36.5786410359494
"Non observed",1986,37.1233243160397
"Non observed",1987,35.5748676362912
"Non observed",1988,31.9484875827633
"Non observed",1989,24.2252560956419
"Non observed",1990,23.3927629547117
"Non observed",1991,22.1111397282102
"Non observed",1992,22.521408854553
"Non observed",1993,23.8248751164548
"Non observed",1994,23.2146927368161
"Non observed",1995,22.6159408064573
"Non observed",1996,19.7624261744382
"Non observed",1997,19.2758682115476
"Non observed",1998,20.5319053179929
"Non observed",1999,15.0826876832886
"Non observed",2000,11.4989079371948
"Non observed",2001,9.65639518225098
"Non observed",2002,7.53893122851562
"Non observed",2003,9.10601573870849
"Non observed",2004,7.5538601798706
"Non observed",2005,17.93137170874
"Non observed",2006,10.3879916254273
"Non observed",2007,10.4913736846313
"Non observed",2008,12.3526605254516
"Non observed",2009,19.6893122039182
"Non observed",2010,16.2985739656372
"Non observed",2011,20.197543991516
"Non observed",2012,21.662179694519
"Non observed",2013,22.8680455496824
"Non observed",2014,21.7664799915159
"Non observed",2015,20.7276813878171
"Non observed",2016,20.2903423638914
"Non observed",2017,21.3864032523801
"Non observed",2018,22.0937681096189
"Non observed",2019,26.6652901338498
"Non observed",2020,36.5059092792966
"Pasture",1985,3304.50624631452
"Pasture",1986,2725.78507874142
"Pasture",1987,2711.27058522604
"Pasture",1988,2678.67022366733
"Pasture",1989,2673.90029876858
"Pasture",1990,2624.58294853013
"Pasture",1991,2628.53977117881
"Pasture",1992,2925.44135496763
"Pasture",1993,3018.74444724667
"Pasture",1994,3173.89915533846
"Pasture",1995,3253.64590282186
"Pasture",1996,3359.16148840005
"Pasture",1997,3460.21346574289
"Pasture",1998,3968.89064584773
"Pasture",1999,4014.33297395326
"Pasture",2000,3586.51332165999
"Pasture",2001,3648.75446001999
"Pasture",2002,3931.27438854965
"Pasture",2003,4073.553562444
"Pasture",2004,4228.9037147582
"Pasture",2005,4370.8921088241
"Pasture",2006,4438.06474087725
"Pasture",2007,4493.50292644048
"Pasture",2008,4489.90190380299
"Pasture",2009,4587.54133450793
"Pasture",2010,4416.04887824121
"Pasture",2011,4564.66724884527
"Pasture",2012,4506.78068322666
"Pasture",2013,4312.97286820924
"Pasture",2014,4327.81638632997
"Pasture",2015,4276.98483924765
"Pasture",2016,4281.46411691113
"Pasture",2017,4357.71543621363
"Pasture",2018,4459.22342046231
"Pasture",2019,4454.05988951901
"Pasture",2020,5016.62876588313
"Water",1985,5657.53096809222
"Water",1986,5944.96197336135
"Water",1987,5795.27073191672
"Water",1988,5876.83216303734
"Water",1989,6011.8950766446
"Water",1990,6310.50363359356
"Water",1991,6450.19540319774
"Water",1992,6510.66105745467
"Water",1993,6416.26355817748
"Water",1994,6384.07723628897
"Water",1995,6446.02923260812
"Water",1996,6441.72964137454
"Water",1997,6241.02142373533
"Water",1998,6081.11505024725
"Water",1999,6452.2977221272
"Water",2000,5796.58970943636
"Water",2001,5487.5946617126
"Water",2002,5629.71991588238
"Water",2003,5620.66200327367
"Water",2004,5687.21382964509
"Water",2005,5781.68252386567
"Water",2006,5877.27704333491
"Water",2007,5727.16697341589
"Water",2008,5758.34313429101
"Water",2009,5618.87579451867
"Water",2010,5515.74509449561
"Water",2011,5507.54020291682
"Water",2012,5471.63642995009
"Water",2013,5430.99920178751
"Water",2014,5475.29567468486
"Water",2015,5461.36096655752
"Water",2016,5444.08585969628
"Water",2017,5478.92962299425
"Water",2018,5460.4395191212
"Water",2019,5495.87076851049
"Water",2020,5753.28874168302
